
──────────────────────────────────────────────────
[expanded_ns_v5] 目标=300，最大尝试=1500，并发=6
  ✓ [248/300] 通过（尝试528）
  ✓ [249/300] 通过（尝试531）
  ✓ [250/300] 通过（尝试533）
  ✓ [251/300] 通过（尝试536）
  ✓ [252/300] 通过（尝试537）
  ✓ [253/300] 通过（尝试538）
  ✓ [254/300] 通过（尝试540）
  ✓ [255/300] 通过（尝试541）
  ✓ [256/300] 通过（尝试543）
  ✓ [257/300] 通过（尝试544）
  ✓ [258/300] 通过（尝试546）
  ✓ [259/300] 通过（尝试548）
  ✓ [260/300] 通过（尝试549）
  ✓ [261/300] 通过（尝试552）
  ✓ [262/300] 通过（尝试554）
  ✓ [263/300] 通过（尝试557）
  ✓ [264/300] 通过（尝试558）
  ✓ [265/300] 通过（尝试561）
  ✓ [266/300] 通过（尝试562）
  ✓ [267/300] 通过（尝试563）
  ✓ [268/300] 通过（尝试564）
  ✓ [269/300] 通过（尝试569）
  ✓ [270/300] 通过（尝试572）
  ✓ [271/300] 通过（尝试576）
  ✓ [272/300] 通过（尝试583）
  ✓ [273/300] 通过（尝试585）
  ✓ [274/300] 通过（尝试589）
  ✓ [275/300] 通过（尝试590）
  ✓ [276/300] 通过（尝试593）
  ✓ [277/300] 通过（尝试597）
  ✓ [278/300] 通过（尝试598）
  ✓ [279/300] 通过（尝试602）
  ✓ [280/300] 通过（尝试603）
  ✓ [281/300] 通过（尝试604）
  ✓ [282/300] 通过（尝试605）
  ✓ [283/300] 通过（尝试606）
  ✓ [284/300] 通过（尝试608）
  ✓ [285/300] 通过（尝试610）
  ✓ [286/300] 通过（尝试612）
  ✓ [287/300] 通过（尝试613）
  ✓ [288/300] 通过（尝试614）
  ✓ [289/300] 通过（尝试615）
  ✓ [290/300] 通过（尝试618）
  ✓ [291/300] 通过（尝试620）
  ✓ [292/300] 通过（尝试622）
  ✓ [293/300] 通过（尝试623）
  ✓ [294/300] 通过（尝试627）
  ✓ [295/300] 通过（尝试628）
  ✓ [296/300] 通过（尝试629）
  ✓ [297/300] 通过（尝试630）
  ✓ [298/300] 通过（尝试632）
  ✓ [299/300] 通过（尝试633）
  ✓ [300/300] 通过（尝试635）
[expanded_ns_v5] 完成：300/300

✓ 输出：/home/yinrong/post-train/impl2.1/round3/data/ns_v5.jsonl（300 条）
